WKT,date,time,victims
"POINT (26.3353981794 42.6673945956)",23.10.2024,17:50,injured
"POINT (26.3353981794 42.6673945956)",23.10.2024,17:50,injured
"POINT (23.32569 42.6675)",24.2.2024,19:15,injured
"POINT (23.35998 42.6676)",8.4.2023,15:34,injured
"POINT (23.27606 42.66763)",21.6.2023,07:55,unharmed
"POINT (23.26754 42.66829)",28.10.2021,07:30,unharmed
"POINT (23.2915279167 42.6688180833)",3.11.2024,00:15,injured
"POINT (26.3287203965 42.6702284733)",17.6.2024,18:35,injured
"POINT (23.35256 42.67072)",19.5.2021,15:00,unharmed
"POINT (23.29553 42.67106)",23.1.2023,19:30,unharmed
"POINT (23.25149 42.67189)",31.7.2021,00:19,injured
"POINT (23.38705 42.67207)",8.12.2023,13:30,unharmed
"POINT (23.3918256314 42.6724245357)",6.3.2025,17:10,injured
"POINT (23.36277 42.67297)",31.3.2021,08:05,injured
"POINT (26.3290076828 42.6729883746)",19.6.2024,09:10,unharmed
"POINT (23.363 42.67308)",30.3.2023,17:15,unharmed
"POINT (23.037 42.85856)",28.7.2023,21:00,injured
"POINT (25.317 42.87934)",5.5.2022,16:05,unharmed
"POINT (24.741 42.16566)",24.8.2022,18:05,injured
"POINT (26.33889 42.67361)",23.4.2021,16:00,injured
"POINT (23.35512 42.67388)",15.10.2022,12:40,unharmed
"POINT (23.38192 42.67434)",28.7.2023,20:10,injured
"POINT (23.31047 42.67455)",14.2.2023,18:12,unharmed
"POINT (23.29544 42.67519)",11.7.2022,17:00,unharmed
"POINT (23.2302000153 42.675753479)",28.4.2024,20:35,injured
"POINT (23.28017 42.67612)",28.9.2023,10:45,injured
"POINT (23.28815 42.67617)",29.6.2022,10:10,unharmed
"POINT (23.2952157785 42.6764274622)",9.2.2024,10:18,injured
"POINT (23.2897068942 42.6770853269)",22.2.2024,22:15,unharmed
"POINT (23.29748 42.67741)",12.5.2022,22:40,unharmed
"POINT (23.36703 42.67777)",15.3.2022,13:20,unharmed
"POINT (23.31882 42.67781)",29.11.2021,18:35,unharmed
"POINT (26.32704 42.67791)",18.6.2022,11:45,unharmed
"POINT (26.32641 42.67794)",6.1.2024,07:05,injured
"POINT (27.7063267667 42.6779495667)",13.12.2024,15:15,injured
"POINT (26.32573 42.67801)",20.7.2023,17:30,injured
"POINT (22.8691120472 42.6781276634)",21.11.2024,19:40,unharmed
"POINT (23.3271870959 42.6781370669)",7.5.2024,21:40,injured
"POINT (26.31544 42.67829)",1.5.2022,11:30,injured
"POINT (23.2981083348 42.6784044165)",6.11.2024,07:15,injured
"POINT (23.2981083348 42.6784044165)",6.11.2024,07:15,injured
"POINT (23.29892 42.67887)",4.12.2022,12:00,injured
"POINT (23.32179 42.6792)",1.3.2021,18:30,injured
"POINT (23.46163 42.6795)",29.4.2023,11:30,injured
"POINT (23.30618 42.68003)",14.4.2023,21:15,injured
"POINT (26.31209 42.68138)",18.9.2023,17:05,injured
"POINT (23.3205956447 42.6818399814)",14.10.2024,16:25,unharmed
"POINT (25.9744886 42.6819465333)",11.10.2024,08:50,injured
"POINT (23.57011 42.6826)",21.7.2022,19:00,unharmed
"POINT (26.32083 42.68298)",7.5.2022,09:15,injured
"POINT (23.35998 42.6839)",8.6.2022,15:10,unharmed
"POINT (23.31984 42.6844)",16.12.2021,14:45,unharmed
"POINT (23.3125009 42.6849229)",30.10.2024,17:00,injured
"POINT (23.32622 42.68507)",20.6.2022,09:20,injured
"POINT (23.32622 42.68507)",20.6.2022,09:20,injured
"POINT (23.3297303737 42.6851049309)",21.5.2024,20:20,unharmed
"POINT (27.70587 42.68523)",30.7.2021,08:00,injured
"POINT (26.33055 42.68646)",9.7.2022,15:45,injured
"POINT (23.32933 42.68659)",30.10.2022,20:40,unharmed
"POINT (27.19450845 42.6866119167)",11.12.2024,13:00,injured
"POINT (23.35128 42.68666)",28.10.2021,07:30,injured
"POINT (27.7 42.68707)",8.5.2022,19:12,injured
"POINT (26.33128 42.68713)",17.7.2022,08:35,unharmed
"POINT (23.31136 42.68781)",3.7.2023,14:55,unharmed
"POINT (23.7104515021 42.6883012172)",3.4.2025,16:40,injured
"POINT (23.36188 42.68916)",20.5.2022,16:50,injured
"POINT (23.31371 42.68952)",12.7.2021,22:34,injured
"POINT (23.30681 42.6898)",6.7.2023,21:50,injured
"POINT (23.3070519708 42.6899682303)",13.6.2024,14:15,unharmed
"POINT (23.3071 42.69002)",28.3.2023,07:28,injured
"POINT (23.3069601833 42.6900327)",16.8.2024,19:15,unharmed
"POINT (23.30768 42.69011)",15.4.2022,20:00,injured
"POINT (26.34018 42.69016)",7.6.2021,16:40,injured
"POINT (27.70435 42.69041)",28.6.2023,12:15,unharmed
"POINT (23.3068 42.69043)",3.11.2022,20:20,unharmed
"POINT (23.3376299167 42.6906021833)",20.11.2024,19:37,unharmed
"POINT (23.24019 42.6907)",9.8.2023,19:20,unharmed
"POINT (23.3385 42.69079)",15.6.2021,15:15,injured
"POINT (23.3115112756 42.6913829613)",2.4.2025,13:40,unharmed
"POINT (26.33104 42.69171)",19.3.2022,18:30,injured
"POINT (23.33577 42.69208)",1.8.2023,22:30,injured
"POINT (23.2954166004 42.6925059162)",22.6.2024,14:20,unharmed
"POINT (23.38191 42.69255)",3.8.2023,12:20,injured
"POINT (23.28266 42.69262)",26.7.2022,18:00,injured
"POINT (23.2642689379 42.6927740904)",6.8.2024,13:00,injured
"POINT (23.3124438333 42.6932168)",21.2.2024,11:15,injured
"POINT (23.2944 42.69448)",12.9.2023,17:30,unharmed
"POINT (23.329577 42.6954379667)",14.1.2025,19:56,unharmed
"POINT (23.3637064667 42.69566835)",8.5.2024,01:00,unharmed
"POINT (23.5419 42.69577)",2.7.2023,15:00,injured
"POINT (23.28631 42.69606)",7.6.2022,18:50,unharmed
"POINT (23.35436 42.69733)",27.4.2021,17:30,injured
"POINT (23.31205 42.6975)",20.8.2021,10:25,injured
"POINT (23.3215941507 42.6975114047)",20.11.2024,19:28,unharmed
"POINT (23.36099 42.69801)",24.1.2022,18:00,unharmed
"POINT (23.3192538753 42.6983305666)",18.9.2024,11:20,injured
"POINT (23.3112 42.69841)",6.6.2021,01:50,unharmed
"POINT (23.33346 42.69846)",8.7.2022,16:00,unharmed
"POINT (23.3610050333 42.6984601)",1.9.2024,21:00,injured
"POINT (23.33314 42.69867)",12.9.2021,19:20,injured
"POINT (23.3363080257 42.6986855055)",7.4.2024,19:45,unharmed
"POINT (23.3364322474 42.6987955756)",16.4.2024,11:30,injured
"POINT (23.32578 42.69884)",29.8.2023,11:50,injured
"POINT (23.30805 42.69889)",28.9.2022,19:30,injured
"POINT (23.29547 42.69892)",7.5.2023,20:00,injured
"POINT (23.32169 42.69893)",4.4.2022,18:00,unharmed
"POINT (23.361630253 42.6990500396)",10.9.2024,21:30,injured
"POINT (23.23046 42.69934)",15.6.2022,16:07,unharmed
"POINT (23.3464070195 42.6996540853)",7.4.2024,10:30,injured
"POINT (27.2527 42.69966)",12.8.2022,16:42,injured
"POINT (23.31176 42.69975)",16.5.2022,13:30,unharmed
"POINT (27.71381 42.69984)",27.8.2022,14:40,unharmed
"POINT (23.29355 42.70112)",13.8.2023,14:35,unharmed
"POINT (23.32188 42.70143)",4.10.2021,19:10,unharmed
"POINT (27.23815 42.70157)",23.7.2021,18:20,died
"POINT (23.28011 42.70161)",4.11.2021,22:40,unharmed
"POINT (27.2517157667 42.7017821667)",19.6.2024,16:35,injured
"POINT (23.3047967651 42.7021704016)",1.3.2024,15:50,unharmed
"POINT (27.25179 42.70232)",14.7.2022,13:00,injured
"POINT (23.3149433161 42.7025120334)",12.11.2024,18:20,unharmed
"POINT (23.32321 42.7027)",26.7.2022,17:40,injured
"POINT (23.312894 42.7030888333)",15.11.2024,13:20,unharmed
"POINT (23.33062 42.70316)",26.4.2023,10:30,unharmed
"POINT (23.3298309219 42.7042111403)",27.7.2024,13:15,injured
"POINT (27.2491301 42.7045914)",9.4.2024,10:30,injured
"POINT (23.31862 42.70505)",18.8.2021,12:30,injured
"POINT (23.32955 42.70522)",1.6.2022,14:15,injured
"POINT (23.31336 42.70528)",31.1.2022,00:30,injured
"POINT (23.33346 42.70538)",15.2.2022,17:55,unharmed
"POINT (23.3088132 42.7056707667)",7.3.2025,14:10,injured
"POINT (23.30154 42.70609)",25.10.2022,18:20,injured
"POINT (23.4600651585 42.7091198299)",6.3.2025,21:50,injured
"POINT (23.25916 42.70989)",10.8.2021,07:30,injured
"POINT (27.25311 42.71003)",4.8.2022,19:45,injured
"POINT (27.73072 42.71025)",23.4.2021,08:00,injured
"POINT (23.2438 42.71065)",7.7.2021,18:15,injured
"POINT (23.27068 42.71118)",10.12.2021,19:55,injured
"POINT (23.27068 42.71118)",10.12.2021,19:55,injured
"POINT (23.30255 42.71174)",28.5.2022,16:20,injured
"POINT (23.30255 42.71174)",28.5.2022,16:20,injured
"POINT (23.3197 42.71216)",25.7.2023,09:50,injured
"POINT (27.7218982 42.71264814)",7.2.2024,12:10,injured
"POINT (23.31587 42.71285)",10.11.2023,19:45,injured
"POINT (27.34291685 42.7128971667)",4.4.2025,12:15,injured
"POINT (23.26233 42.71486)",24.7.2023,16:10,injured
"POINT (23.30962 42.71582)",23.11.2021,09:15,injured
"POINT (23.27422 42.71653)",1.6.2023,19:30,unharmed
"POINT (23.35322 42.71675)",15.8.2022,22:00,injured
"POINT (23.29276 42.71919)",23.7.2022,20:40,injured
"POINT (23.31122 42.72081)",25.2.2021,08:08,unharmed
"POINT (23.2588264667 42.7211616)",10.10.2024,12:00,injured
"POINT (23.3418187997 42.7215687131)",29.1.2025,07:40,injured
"POINT (23.2805791672 42.7216985313)",14.9.2024,20:25,unharmed
"POINT (23.768731 42.721718)",9.4.2024,16:30,injured
"POINT (23.27078 42.72197)",18.5.2023,09:20,injured
"POINT (23.2575395973 42.7223399767)",10.2.2025,13:38,unharmed
"POINT (23.2673872123 42.7236781943)",13.4.2024,22:10,unharmed
"POINT (23.30422 42.72439)",16.11.2022,08:10,unharmed
"POINT (23.30396 42.72496)",12.9.2022,15:30,injured
"POINT (23.3040954173 42.72515523)",5.4.2024,17:50,injured
"POINT (23.30427 42.72571)",1.8.2022,14:00,unharmed
"POINT (23.26563 42.72584)",28.7.2021,07:40,unharmed
"POINT (23.30279 42.72594)",3.4.2022,09:20,unharmed
"POINT (23.30279 42.72609)",12.9.2021,13:00,unharmed
"POINT (23.34181 42.72703)",3.7.2023,18:30,injured
"POINT (23.24709 42.72805)",3.8.2023,20:00,injured
"POINT (23.34433 42.72893)",25.8.2021,22:15,injured
"POINT (23.2995777027 42.7291850327)",14.10.2024,14:30,injured
"POINT (23.2965588615 42.7298066482)",29.3.2024,07:00,unharmed
"POINT (23.29745 42.73099)",13.8.2023,21:39,unharmed
"POINT (23.24338 42.7311)",31.7.2022,12:40,unharmed
"POINT (23.29026 42.73399)",8.9.2023,18:20,unharmed
"POINT (23.46888 42.73603)",28.7.2021,17:30,injured
"POINT (23.30273 42.73643)",27.6.2022,11:30,injured
"POINT (23.22685 42.74617)",14.10.2023,10:50,unharmed
"POINT (23.27568 42.75189)",13.7.2023,08:15,unharmed
"POINT (26.775646074 42.7638305285)",6.2.2024,09:10,injured
"POINT (23.40667 42.76809)",18.6.2023,13:20,injured
"POINT (23.40857 42.77142)",9.11.2022,12:40,injured
"POINT (23.21631 42.81102)",7.11.2022,14:30,unharmed
"POINT (23.22003 42.81247)",25.8.2023,19:40,unharmed
"POINT (23.19648 42.81478)",8.11.2023,08:15,unharmed
"POINT (23.19246 42.82806)",15.7.2021,19:05,unharmed
"POINT (24.92444 42.83219)",14.8.2023,08:30,injured
"POINT (23.1747831243 42.8374021536)",9.1.2025,07:52,injured
"POINT (25.3384941667 42.83863845)",27.6.2024,19:45,injured
"POINT (23.23636 42.84147)",18.6.2022,10:51,unharmed
"POINT (24.0028075 42.8415674)",10.12.2024,18:00,injured
"POINT (25.3393 42.84669)",15.4.2022,21:50,injured
"POINT (24.68941 42.85568)",9.10.2023,10:45,injured
"POINT (25.39969 42.85773)",25.6.2021,22:40,injured
"POINT (25.3181347 42.865446)",17.7.2024,21:00,injured
"POINT (25.28915 42.86685)",14.11.2021,17:30,unharmed
"POINT (25.30885 42.86732)",4.11.2021,14:30,injured
"POINT (25.3175 42.86857)",13.8.2021,09:00,unharmed
"POINT (25.31781 42.86875)",22.2.2022,11:10,injured
"POINT (25.30912 42.86972)",20.9.2022,12:50,injured
"POINT (27.8844 42.87067)",6.7.2023,20:15,unharmed
"POINT (25.31409 42.87098)",4.8.2021,17:40,unharmed
"POINT (25.3188 42.87222)",9.3.2023,17:00,injured
"POINT (24.6380799872 42.8735588934)",28.10.2024,18:23,died
"POINT (25.319688 42.875268)",10.2.2024,22:10,injured
"POINT (27.88852 42.87527)",30.7.2021,13:34,unharmed
"POINT (24.77651 42.87527)",15.7.2021,11:45,injured
"POINT (25.31907 42.87551)",10.6.2022,16:20,injured
"POINT (25.31672 42.87622)",4.1.2021,10:50,unharmed
"POINT (25.31676 42.87911)",21.4.2022,13:09,unharmed
"POINT (24.70927 42.87929)",26.9.2021,19:50,injured
"POINT (24.71228 42.87931)",27.3.2022,19:05,injured
"POINT (25.3128221167 42.8794139167)",1.7.2024,07:40,injured
"POINT (25.32092 42.87992)",20.1.2023,19:40,injured
"POINT (24.5998052414 42.8801034117)",18.9.2024,15:45,unharmed
"POINT (25.3164038 42.8808336167)",25.4.2024,11:50,unharmed
"POINT (25.31736 42.88084)",9.6.2023,15:20,injured
"POINT (25.31755 42.88529)",10.4.2023,08:55,injured
"POINT (24.7655188381 42.8855537161)",19.10.2024,16:33,injured
"POINT (25.3217399167 42.8857872833)",24.7.2024,16:55,injured
"POINT (24.7114777809 42.8873612312)",8.3.2025,15:10,injured
"POINT (24.70791 42.88806)",21.10.2023,19:45,injured
"POINT (25.32058 42.88828)",29.7.2022,16:50,injured
"POINT (24.62073 42.88934)",2.9.2023,18:25,injured
"POINT (24.71318 42.89001)",1.6.2023,11:40,injured
"POINT (25.31294 42.89179)",31.3.2021,11:40,unharmed
"POINT (25.3255788667 42.8919191667)",20.5.2024,09:00,injured
"POINT (24.71146 42.89273)",8.7.2022,18:23,unharmed
"POINT (24.70722 42.89335)",4.8.2022,18:30,injured
"POINT (24.70809 42.89349)",30.12.2023,14:00,injured
"POINT (24.71479 42.89994)",28.8.2022,11:50,injured
"POINT (24.71469 42.90137)",13.1.2023,07:24,injured
"POINT (23.78692 42.90208)",20.5.2022,21:31,injured
"POINT (25.24502 42.9047)",30.3.2021,11:20,injured
"POINT (23.7907969167 42.90641235)",10.6.2024,09:53,unharmed
"POINT (23.837348 42.913216)",10.7.2024,17:00,unharmed
"POINT (24.700281458 42.9280398103)",5.9.2024,20:15,unharmed
"POINT (23.769812 42.945975)",16.8.2024,20:00,injured
"POINT (25.12335 42.94723)",10.4.2021,19:28,unharmed
"POINT (25.1206592833 42.9486976667)",9.12.2024,16:30,injured
"POINT (25.02148 42.96006)",5.5.2021,19:20,injured
"POINT (25.02148 42.96006)",5.5.2021,19:20,injured
"POINT (25.10770145 42.97465795)",6.4.2024,21:35,injured
"POINT (24.68227 42.97503)",9.7.2021,15:25,injured
"POINT (27.79675 42.99088)",2.6.2021,13:20,injured
"POINT (26.67274253 42.99497015)",19.11.2024,12:40,injured
"POINT (27.71497 42.99805)",4.7.2023,08:30,injured
"POINT (26.5760397 43.0040986)",19.2.2023,19:55,injured
"POINT (27.6448316667 43.0155883333)",5.12.2024,17:30,injured
"POINT (25.09243 43.01891)",24.6.2021,18:55,died
"POINT (24.0953702931 43.0204160299)",5.9.2024,18:50,injured
"POINT (24.0953702931 43.0204160299)",5.9.2024,18:50,injured
"POINT (24.0953702931 43.0204160299)",5.9.2024,18:50,injured
"POINT (25.09749 43.02183)",13.10.2021,07:15,injured
"POINT (25.1087142 43.0225896667)",23.3.2024,12:00,unharmed
"POINT (25.09844 43.02294)",28.12.2023,17:00,unharmed
"POINT (24.008251 43.027573)",1.11.2024,14:20,injured
"POINT (24.008666 43.027974)",10.3.2025,11:30,injured
"POINT (25.09557 43.02798)",15.3.2022,17:30,unharmed
"POINT (24.007972 43.028929)",2.3.2025,18:00,injured
"POINT (25.09720855 43.0346662333)",1.5.2024,22:35,unharmed
"POINT (27.3460311167 43.0478141)",9.6.2024,11:05,injured
"POINT (27.3554522667 43.0495168833)",6.5.2024,08:55,injured
"POINT (27.3554522667 43.0495168833)",6.5.2024,08:55,injured
"POINT (27.3368680667 43.0563954167)",18.7.2024,20:55,injured
"POINT (26.69697 43.05677)",18.6.2022,19:00,injured
"POINT (27.86107 43.05679)",11.7.2022,08:45,injured
"POINT (27.01768 43.06526)",21.9.2023,07:45,injured
"POINT (25.61138 43.07602)",13.5.2021,23:15,injured
"POINT (25.62513 43.07636)",29.6.2022,12:20,injured
"POINT (25.63115 43.07778)",31.7.2021,20:25,injured
"POINT (25.62825 43.07883)",26.3.2023,05:15,injured
"POINT (26.55695 43.09674)",15.8.2021,13:47,injured
"POINT (25.70095 43.11733)",6.6.2022,18:20,injured
"POINT (24.6440506833 43.1258718)",8.9.2024,19:16,injured
"POINT (24.71538 43.13235)",9.11.2023,08:25,injured
"POINT (24.70751 43.13705)",18.7.2021,10:20,injured
"POINT (24.71609 43.13832)",30.6.2021,10:05,injured
"POINT (26.6073062 43.1396325)",26.7.2023,22:22,injured
"POINT (24.71824 43.1411)",26.8.2022,17:20,injured
"POINT (23.70904 43.14536)",4.10.2021,14:30,unharmed
"POINT (24.7157373 43.1503342833)",9.8.2024,08:50,unharmed
"POINT (25.663092832 43.1512581294)",17.10.2024,15:20,injured
"POINT (25.6534105481 43.1530603822)",7.6.2024,19:35,injured
"POINT (24.14873505 43.1572584333)",31.3.2024,13:00,injured
"POINT (26.815011515 43.1587598408)",16.6.2024,21:10,injured
"POINT (24.72203 43.15904)",23.4.2021,15:30,injured
"POINT (27.93735 43.16197)",22.5.2023,21:22,unharmed
"POINT (26.82035 43.16216)",9.6.2023,19:30,injured
"POINT (25.57654 43.17696)",6.9.2021,18:35,injured
"POINT (27.89601 43.1787266667)",8.1.2025,06:40,injured
"POINT (27.89688 43.17946)",13.8.2021,08:30,injured
"POINT (27.89542 43.18006)",31.8.2022,17:29,injured
"POINT (27.89542 43.18006)",31.8.2022,17:29,injured
"POINT (27.4449941667 43.1805378667)",9.4.2024,12:22,injured
"POINT (27.9014 43.18239)",27.2.2021,13:30,injured
"POINT (27.88996 43.18263)",16.6.2021,18:08,injured
"POINT (27.88996 43.18263)",16.6.2021,18:08,injured
"POINT (27.89263 43.18371)",4.8.2021,09:20,injured
"POINT (27.8891234568 43.1846583333)",18.8.2024,19:40,injured
"POINT (27.87275 43.18484)",26.5.2021,11:43,injured
"POINT (27.88117 43.18508)",12.7.2021,19:30,injured
"POINT (23.72631 43.1854)",7.9.2021,18:20,injured
"POINT (27.921845 43.187274)",9.8.2024,22:45,unharmed
"POINT (23.53701 43.19174)",22.7.2021,19:30,unharmed
"POINT (27.70838 43.19193)",8.1.2023,06:55,injured
"POINT (23.5665151 43.1928323833)",15.3.2024,09:45,injured
"POINT (24.1019849 43.19350715)",21.4.2024,16:35,injured
"POINT (27.71323 43.19365)",29.1.2023,10:24,injured
"POINT (27.9174686819 43.1965652127)",28.4.2024,23:15,unharmed
"POINT (27.9174686819 43.1965652127)",28.4.2024,23:15,injured
"POINT (23.55949 43.19982)",4.6.2021,16:50,injured
"POINT (27.91455 43.20259)",10.4.2021,17:10,injured
"POINT (27.8003133024 43.2047440388)",7.7.2024,20:40,injured
"POINT (27.9083820554 43.2049752777)",30.11.2024,12:30,injured
"POINT (27.9099906484 43.2050126391)",27.3.2024,16:25,injured
"POINT (27.90657 43.20521)",30.8.2021,13:05,injured
"POINT (23.5482623 43.20540475)",25.1.2025,11:05,injured
"POINT (27.9107465788 43.205409)",5.6.2024,16:20,injured
"POINT (25.310652 43.205536)",14.2.2024,22:00,injured
"POINT (24.15869 43.20606)",18.9.2021,18:30,injured
"POINT (27.898215337 43.2069837419)",5.7.2024,17:20,injured
"POINT (27.91238 43.20762)",17.11.2021,12:45,injured
"POINT (27.9188654984 43.208494382)",26.11.2024,11:50,injured
"POINT (27.9185656374 43.2086352215)",1.10.2024,15:30,injured
"POINT (27.91782 43.20878)",8.11.2021,12:30,unharmed
"POINT (27.9049415 43.2093292)",21.5.2024,01:10,injured
"POINT (27.8879922936 43.209548777)",6.1.2025,12:48,injured
"POINT (27.913906799 43.2095488235)",12.4.2024,18:45,injured
"POINT (27.9410584013 43.2101975763)",6.7.2024,07:50,injured
"POINT (27.9173054953 43.2111091816)",10.6.2024,22:18,injured
"POINT (27.86281 43.21127)",23.3.2022,14:25,unharmed
"POINT (27.8871110485 43.2113544415)",16.1.2025,08:30,injured
"POINT (27.9181568227 43.2116417293)",5.3.2024,10:30,injured
"POINT (27.9071 43.21179)",23.6.2021,15:11,injured
"POINT (27.9557010448 43.211835359)",26.1.2025,16:26,injured
"POINT (26.5620547 43.2118613)",30.4.2023,13:00,died
"POINT (27.9157993959 43.2122854483)",17.4.2024,16:43,injured
"POINT (27.9117683411 43.2131151649)",3.10.2024,17:10,injured
"POINT (27.90889 43.21318)",12.9.2021,16:55,injured
"POINT (27.9285576603 43.213292485)",18.7.2024,13:20,injured
"POINT (27.90859 43.21342)",5.2.2021,07:50,injured
"POINT (26.9436 43.21353)",21.1.2023,17:50,died
"POINT (27.89838 43.21367)",22.12.2023,13:50,injured
"POINT (27.9006478896 43.2138913635)",22.3.2024,11:40,injured
"POINT (27.9159496016 43.2139198893)",7.7.2024,20:10,injured
"POINT (27.9160833067 43.2139881877)",30.8.2024,08:45,injured
"POINT (27.94577 43.21404)",24.9.2021,19:30,unharmed
"POINT (27.9217628437 43.2142557694)",3.3.2025,13:40,died
"POINT (27.92132 43.21449)",26.7.2021,16:35,injured
"POINT (23.5485224333 43.2156588667)",26.9.2024,18:55,injured
"POINT (27.88832 43.2157)",8.7.2021,08:30,unharmed
"POINT (27.95754 43.21648)",9.2.2021,11:09,unharmed
"POINT (27.9037936645 43.2165558657)",30.7.2024,08:50,injured
"POINT (27.9253137925 43.2175946563)",21.11.2024,12:00,injured
"POINT (23.54264 43.21832)",20.7.2021,07:45,injured
"POINT (27.90648 43.2184)",22.4.2021,09:58,injured
"POINT (27.9141901487 43.2187239273)",21.12.2024,19:00,unharmed
"POINT (27.9141901487 43.2187239273)",21.12.2024,19:00,injured
"POINT (27.88975 43.21881)",8.11.2023,07:50,injured
"POINT (27.9342732539 43.2192218049)",13.6.2024,20:40,injured
"POINT (27.9342732539 43.2192218049)",13.6.2024,20:40,injured
"POINT (27.8885574618 43.2192285719)",9.4.2024,17:10,injured
"POINT (23.1595001452 43.2195061314)",18.6.2024,16:40,injured
"POINT (27.9268165225 43.2200873264)",1.4.2025,17:50,unharmed
"POINT (27.93092 43.2201)",8.6.2021,20:50,injured
"POINT (27.9312360907 43.2202074533)",2.2.2025,15:45,injured
"POINT (27.9149808024 43.2205156673)",6.8.2024,11:00,injured
"POINT (27.92438 43.22052)",18.12.2021,07:40,injured
"POINT (27.8983732675 43.2206730131)",11.4.2024,18:20,injured
"POINT (27.937624 43.220849)",6.1.2024,15:45,injured
"POINT (27.8940459879 43.2235600012)",15.6.2024,14:25,injured
"POINT (27.8939985976 43.2238105223)",5.4.2025,13:50,unharmed
"POINT (27.91425 43.22393)",5.6.2021,21:30,injured
"POINT (27.99796 43.22473)",29.5.2021,11:00,injured
"POINT (27.99899 43.22484)",17.8.2021,18:25,injured
"POINT (27.8906579913 43.2267874038)",27.7.2024,18:30,injured
"POINT (27.9067 43.22766)",3.9.2021,06:30,injured
"POINT (27.93579 43.22768)",7.10.2021,08:20,injured
"POINT (27.87844 43.22785)",7.12.2023,07:20,injured
"POINT (27.87403 43.22833)",28.3.2021,11:35,injured
"POINT (25.96396 43.22853)",15.7.2021,20:00,unharmed
"POINT (27.7886251333 43.2298581333)",20.5.2024,19:43,injured
"POINT (27.86985 43.23061)",20.9.2021,07:55,injured
"POINT (27.86986 43.23062)",7.6.2021,18:00,injured
"POINT (28.00709 43.2311)",30.5.2022,08:20,injured
"POINT (27.8702832606 43.2330212564)",27.7.2024,12:32,unharmed
"POINT (27.8843385141 43.2335983319)",12.6.2024,08:00,injured
"POINT (27.8767746238 43.23414089)",1.5.2024,11:20,injured
"POINT (23.1307029333 43.2342223093)",5.8.2024,22:20,injured
"POINT (24.8283342219 43.2353018856)",24.7.2024,12:15,unharmed
"POINT (27.87131 43.23668)",8.10.2021,07:00,unharmed
"POINT (25.3051065107 43.2384483653)",1.4.2024,14:10,injured
"POINT (27.83236 43.23932)",22.8.2021,23:30,unharmed
"POINT (23.3465818667 43.2395328833)",15.11.2024,18:00,injured
"POINT (26.5693949 43.239562)",12.6.2023,19:17,injured
"POINT (26.5708785 43.2396334)",16.8.2023,18:00,injured
"POINT (27.8685720363 43.2401361594)",11.9.2024,19:45,injured
"POINT (27.8674559221 43.2403851317)",11.3.2024,13:40,injured
"POINT (26.5710706 43.2413663)",23.7.2023,23:00,injured
"POINT (26.5588034876 43.2417335193)",8.3.2024,10:30,unharmed
"POINT (24.035345 43.242671)",19.5.2024,18:50,injured
"POINT (26.5627018 43.2432653)",23.8.2023,16:45,injured
"POINT (26.56785755 43.2450332667)",11.9.2024,14:15,injured
"POINT (26.5627402113 43.2459464178)",19.6.2024,16:45,injured
"POINT (27.8474363269 43.2459936082)",5.6.2024,11:10,injured
"POINT (28.01957 43.24623)",4.8.2021,10:16,injured
"POINT (26.5696740685 43.2479195067)",22.5.2024,11:00,injured
"POINT (26.5658905991 43.2487183686)",2.8.2024,09:15,unharmed
"POINT (27.6079607565 43.2490739624)",9.11.2024,17:30,died
"POINT (27.6079607565 43.2490739624)",9.11.2024,17:30,unharmed
"POINT (26.5633181442 43.2491877852)",30.8.2024,17:15,injured
"POINT (27.77527 43.25141)",20.6.2022,16:17,injured
"POINT (23.59473 43.25998)",4.8.2021,08:00,unharmed
"POINT (26.944333 43.261896)",25.4.2023,14:30,injured
"POINT (26.938823 43.262739)",1.4.2023,19:05,injured
"POINT (26.943448 43.268328)",5.7.2023,13:15,injured
"POINT (26.942065 43.269314)",9.6.2023,08:00,injured
"POINT (26.9107029833 43.2699402167)",7.10.2024,17:51,injured
"POINT (26.9282211419 43.2705839012)",11.4.2024,07:45,injured
"POINT (26.93635 43.27148)",19.8.2022,10:00,injured
"POINT (26.93638 43.27167)",15.8.2022,18:45,injured
"POINT (26.93986 43.27271)",28.10.2022,16:30,injured
"POINT (26.93929 43.27322)",12.7.2021,10:10,injured
"POINT (26.934998 43.273695)",6.10.2023,19:30,injured
"POINT (26.92489 43.27437)",9.6.2021,18:20,injured
"POINT (26.9351 43.27452)",30.5.2022,08:30,injured
"POINT (26.93865 43.27456)",5.2.2021,16:20,unharmed
"POINT (26.92979 43.27491)",6.4.2022,14:20,injured
"POINT (26.942795 43.274975)",30.8.2023,12:20,injured
"POINT (26.94253 43.27515)",8.8.2022,20:35,injured
"POINT (24.082005 43.277128)",7.9.2024,16:41,injured
"POINT (26.9265944667 43.2772323333)",6.5.2024,07:15,unharmed
"POINT (26.9158499054 43.2779651008)",10.7.2024,20:30,unharmed
"POINT (27.003225 43.286987)",13.5.2023,22:20,died
"POINT (23.17501 43.29586)",4.7.2022,17:20,injured
"POINT (25.64296 43.30228)",23.9.2022,07:55,injured
"POINT (28.05563 43.31616)",20.7.2022,12:40,injured
"POINT (25.86777 43.32416)",30.6.2021,10:48,injured
"POINT (27.5964581294 43.3299686598)",7.10.2024,13:30,unharmed
"POINT (27.191839 43.343828)",1.12.2023,11:40,died
"POINT (27.2008553 43.3454556)",5.9.2024,12:40,injured
