WKT,date,time,victims
"POINT (25.59809 42.05492)",30.11.2022,12:00,injured
"POINT (25.5886611956 42.0553666464)",21.6.2024,18:20,unharmed
"POINT (25.58562 42.05701)",27.4.2023,17:15,injured
"POINT (25.5912268513 42.0581954277)",26.9.2024,08:40,injured
"POINT (25.59213 42.06008)",11.8.2021,10:20,injured
"POINT (25.24042 42.06171)",9.11.2023,17:35,died
"POINT (24.36565802 42.0637781)",10.8.2024,09:50,injured
"POINT (24.560043971 42.0651940803)",2.4.2024,05:00,died
"POINT (26.248 42.0662)",10.6.2023,20:30,injured
"POINT (24.00994 42.06967)",30.6.2023,17:45,injured
"POINT (25.57916 42.07441)",11.9.2023,20:45,injured
"POINT (25.1943578 42.0782946)",13.3.2024,14:15,died
"POINT (25.19591 42.08215)",18.1.2022,17:30,injured
"POINT (26.3331835291 42.0851282771)",13.5.2024,11:35,injured
"POINT (24.81811 42.0901)",15.10.2022,12:20,injured
"POINT (24.72102 42.09205)",2.12.2023,15:20,injured
"POINT (25.21924 42.09497)",1.12.2022,17:10,injured
"POINT (24.5962022667 42.0964313833)",21.10.2024,16:25,injured
"POINT (25.22957 42.09712)",17.3.2022,17:27,injured
"POINT (25.62591 42.09836)",7.8.2021,09:00,injured
"POINT (24.9060607833 42.0991703833)",24.2.2025,11:24,injured
"POINT (24.892860675 42.0999764152)",22.11.2024,16:00,injured
"POINT (24.7004564858 42.1019583477)",30.9.2024,17:00,injured
"POINT (24.48609 42.10533)",24.12.2022,13:30,injured
"POINT (25.2242174 42.1064183833)",14.1.2024,18:30,unharmed
"POINT (24.70802 42.11046)",30.9.2023,14:30,injured
"POINT (24.7139436 42.1178514)",10.10.2024,09:35,injured
"POINT (24.73521 42.11823)",5.9.2022,13:45,injured
"POINT (24.75518 42.12246)",29.6.2022,17:50,injured
"POINT (24.7738718365 42.1226848283)",21.3.2025,16:45,injured
"POINT (27.42584 42.1228)",25.10.2023,11:40,injured
"POINT (24.7397166444 42.1238395994)",31.3.2024,20:40,unharmed
"POINT (23.2080819836 42.1239124519)",9.9.2024,18:15,injured
"POINT (24.7376289148 42.1239927273)",10.2.2024,12:56,unharmed
"POINT (24.7407638433 42.1241909812)",2.5.2024,11:20,unharmed
"POINT (24.7330070629 42.1266002041)",30.9.2024,14:25,unharmed
"POINT (24.7419448708 42.1267178631)",15.8.2024,18:30,unharmed
"POINT (24.7296955586 42.1272116159)",2.3.2024,17:55,injured
"POINT (24.7699410578 42.1274996416)",4.7.2024,14:50,injured
"POINT (24.76982 42.12759)",17.2.2023,17:35,injured
