WKT,Категория,Категория #,Град/район,Име,name,description,Категория #
"LINESTRING (23.430428 42.708876, 23.426246 42.709161, 23.425149 42.709204, 23.424058 42.709211, 23.422011 42.70915, 23.421167 42.709075, 23.404337 42.706075, 23.394246 42.704286, 23.393439 42.70399, 23.391816 42.70371, 23.390194 42.703438, 23.389386 42.703379, 23.38748 42.703016, 23.387328 42.702903, 23.386607 42.702785, 23.38633 42.702818, 23.384871 42.702558, 23.38464 42.702546, 23.38412 42.70244, 23.384068 42.702301, 23.382643 42.702029, 23.382509 42.70211, 23.382118 42.702274)",Велоалеи,1.0,София,Велоалея - бул Ботеевградско Шосе - юг,,,
"LINESTRING (23.28997 42.664036, 23.299658 42.659362)",Велоалеи,1.0,София,бул. Т. Каблешков,,,
"LINESTRING (23.376213 42.67491, 23.376455 42.67508, 23.381865 42.674108, 23.38192 42.673843, 23.383396 42.673639, 23.387232 42.672978, 23.395418 42.671494, 23.408883 42.664643, 23.415567 42.662777)",Велоалеи,1.0,София,Велоалея - бул. Асен Йорданов - бул. Искарско Шосе,,,
"LINESTRING (23.31105 42.692654, 23.315031 42.694638)",Велоалеи,1.0,София,пл. Македония,,,
"LINESTRING (23.299792 42.659549, 23.295259 42.66162, 23.289851 42.664402, 23.289663 42.664557, 23.288807 42.665014, 23.2883837 42.6658027)",Велоалеи,1.0,София,бул. Т. Каблешков,,,
"LINESTRING (23.3023527 42.6794475, 23.3003237 42.6790445, 23.2994737 42.6787765, 23.2994557 42.6786185, 23.2981937 42.6777035, 23.2947687 42.6724585, 23.2872467 42.6645855, 23.2867018 42.6635775, 23.2860228 42.6613665, 23.2846498 42.6565385, 23.2839368 42.6552555, 23.2835848 42.6550205, 23.2836398 42.6548955, 23.2830828 42.6542215, 23.2826008 42.6538235)",Велоалеи,1.0,София,бул. България,,,
"LINESTRING (23.2824574 42.6536265, 23.2821344 42.6533395, 23.2815334 42.6532255, 23.2810543 42.6526041, 23.2804988 42.6520327, 23.2789809 42.6508564, 23.2781975 42.650328, 23.2775252 42.6498858, 23.2763521 42.6494127, 23.274764 42.6489861, 23.2728348 42.6488171, 23.271452 42.6487735, 23.2707814 42.6487835, 23.2695984 42.6487255, 23.2688104 42.6486695, 23.2679734 42.6487215, 23.2664224 42.6493095)",Велоалеи,1.0,София,Велоалея - ул. даскал Стоян Попандреев,,,
"LINESTRING (23.326002 42.697722, 23.325889 42.697909, 23.325833 42.697921, 23.325074 42.69787, 23.324905 42.697803)",Велоалеи,1.0,София,Велоалея - бул. Дондуков,,,
"LINESTRING (23.311045 42.691872, 23.313841 42.689659)",Велоалеи,1.0,София,бул. Скобелев,,,
"LINESTRING (23.315324 42.683387, 23.315602 42.683635, 23.316295 42.684609, 23.316697 42.685118, 23.317947 42.685843, 23.318081 42.686088, 23.319055 42.688918)",Велоалеи,1.0,София,Велоалея - бул. Витоша - изток,,,
"LINESTRING (23.3286522 42.688122, 23.3140703 42.689443)",Велоалеи,1.0,София,бул. Патриарх Евтимий,,,
"LINESTRING (23.313634 42.682175, 23.31048 42.679105, 23.30885 42.674877)",Велоалеи,1.0,София,бул. Витоша,,,
"LINESTRING (23.313634 42.682175, 23.315002 42.683532)",Велоалеи,1.0,София,бул. Витоша,,,
"LINESTRING (23.309167 42.674805, 23.310841 42.679033, 23.315324 42.683387)",Велоалеи,1.0,София,бул. Витоша,,,
"LINESTRING (23.382118 42.702274, 23.381732 42.702448, 23.38065 42.702259, 23.380333 42.702174, 23.378307 42.701802, 23.378083 42.701776, 23.377806 42.701695, 23.377344 42.701659, 23.374486 42.701138, 23.374357 42.701174, 23.373504 42.70103)",Велоалеи,1.0,София,Велоалея - бул Ботеевградско Шосе - север,,,
"LINESTRING (23.294799 42.672087, 23.295572 42.673042, 23.29835 42.67753, 23.298594 42.677844, 23.299021 42.678159, 23.299517 42.678449, 23.300067 42.678626, 23.302207 42.679009)",Велоалеи,1.0,София,Бул. България,,,
"LINESTRING (23.296148 42.732199, 23.292415 42.729267, 23.288552 42.732971)",Велоалеи,1.0,София,Велоалея Надежда,,,
"LINESTRING (23.316028 42.656705, 23.329686 42.656445, 23.330952 42.655869, 23.331757 42.655585, 23.332733 42.655585, 23.333688 42.655845, 23.334675 42.656548, 23.335458 42.657124, 23.33637 42.657447)",Велоалеи,1.0,София,Филип Кутев,,,
