WKT,Категория,Категория #,Град/район,Име,name,description,Категория #
"LINESTRING (23.37443 42.664822, 23.378448 42.667851)",Удобни,3.0,София,Line 48,,,
"LINESTRING (23.30885 42.674877, 23.309167 42.674805, 23.30763 42.671885, 23.307327 42.671802, 23.306015 42.670196, 23.304898 42.669732, 23.305075 42.669212, 23.305134 42.668908, 23.304871 42.668659, 23.304192 42.668644, 23.304114 42.668565, 23.304678 42.667844, 23.305349 42.66717, 23.304748 42.666239, 23.30449 42.665245, 23.302592 42.665523)",Удобни,3.0,София,Line 50,,,
"LINESTRING (23.305349 42.66717, 23.306343 42.666314, 23.307172 42.663897, 23.306995 42.66069, 23.308507 42.659678, 23.3098 42.658905, 23.309877 42.65841, 23.310148 42.658043)",Удобни,3.0,София,Line 51,,,
"LINESTRING (23.306938 42.681042, 23.307806 42.681725, 23.30611 42.685496, 23.307101 42.68573, 23.307222 42.685493, 23.308748 42.685846, 23.308664 42.686054, 23.309193 42.686179, 23.309759 42.686171, 23.31022 42.686313, 23.310435 42.686519)",Удобни,3.0,София,Line 52,,,
"LINESTRING (23.366882 42.66772, 23.367627 42.666973, 23.367796 42.666378, 23.367664 42.665373, 23.368195 42.6633216, 23.368388 42.662272, 23.368302 42.661893, 23.3673033 42.6612253, 23.3671165 42.6608139, 23.363792 42.658343, 23.363594 42.658075, 23.363222 42.658138, 23.360848 42.657495, 23.359279 42.65727)",Удобни,3.0,София,Line 46,,,
"LINESTRING (23.372506 42.67216, 23.372215 42.671776, 23.372283 42.671653, 23.372432 42.67166, 23.373003 42.671895, 23.374016 42.671121, 23.371778 42.669392, 23.373341 42.668277, 23.375037 42.66652, 23.374998 42.666009, 23.375484 42.665616)",Удобни,3.0,София,Line 48,,,
"LINESTRING (23.3701991 42.6897941, 23.3694229 42.6911837, 23.3687204 42.69233, 23.3682386 42.6927431, 23.3659391 42.6943227, 23.3648014 42.6950209, 23.3641481 42.6953, 23.3634572 42.6955396, 23.3602585 42.6963512, 23.3596225 42.6964851, 23.357109 42.696406, 23.356932 42.696421, 23.356512 42.696546, 23.356366 42.696471, 23.356142 42.696525)",Удобни,5.0,София,ул. Стара Слатинска,,,
"LINESTRING (23.354343 42.67726, 23.355784 42.676275)",Удобни,3.0,София,Line 51,,,
"LINESTRING (23.35961 42.667988, 23.357574 42.667614, 23.354615 42.667476, 23.354918 42.66669, 23.354919 42.666396, 23.355284 42.66588)",Удобни,3.0,София,Line 52,,,
"LINESTRING (23.363229 42.669599, 23.356253 42.67466, 23.355929 42.67442, 23.352964 42.676402)",Удобни,3.0,София,Line 5,,,
"LINESTRING (23.363533 42.671793, 23.36423 42.671284, 23.362584 42.67006, 23.361602 42.66949, 23.36071 42.669271, 23.359942 42.669414, 23.359346 42.669683, 23.357409 42.671742, 23.355038 42.673841, 23.3529784 42.6753786)",Удобни,3.0,София,Line 53,,,
"LINESTRING (23.35719 42.675262, 23.364336 42.670156)",Удобни,3.0,София,Line 54,,,
"LINESTRING (23.361183 42.698681, 23.360395 42.699538, 23.360138 42.699954, 23.358464 42.699744, 23.358206 42.70027, 23.354516 42.699494, 23.352316 42.699688)",Удобни,3.0,София,Line 55,,,
"LINESTRING (23.35201 42.700352, 23.354818 42.700218, 23.355395 42.699675)",Удобни,3.0,София,Line 56,,,
"LINESTRING (23.356291 42.654253, 23.358819 42.654531, 23.358484 42.655956, 23.3584661 42.6563324)",Удобни,3.0,София,Line 57,,,
"LINESTRING (23.360138 42.699954, 23.36012 42.70008, 23.360248 42.700148, 23.36245 42.700373, 23.36617 42.700759, 23.368453 42.700619, 23.368118 42.701559)",Удобни,3.0,София,Line 58,,,
"LINESTRING (23.368118 42.701559, 23.370934 42.701421, 23.372613 42.701614)",Удобни,3.0,София,Line 59,,,
"LINESTRING (23.349652 42.686171, 23.350667 42.687091, 23.351731 42.687664)",Удобни,3.0,София,Line 62,,,
"LINESTRING (23.352112 42.687722, 23.352605 42.688448, 23.352176 42.688606, 23.35209 42.689552, 23.352648 42.690798, 23.352004 42.69094, 23.352112 42.691571)",Удобни,3.0,София,Line 63,,,
"LINESTRING (23.331002 42.686236, 23.331267 42.686321, 23.331548 42.686138, 23.331912 42.685933, 23.333296 42.685625, 23.334391 42.68628, 23.334798 42.686201, 23.335646 42.685657, 23.33607 42.685578, 23.336712 42.684679, 23.343513 42.680104, 23.346269 42.677824, 23.343825 42.675865)",Удобни,3.0,София,Line 63,,,
"LINESTRING (23.33612 42.672233, 23.336434 42.672426)",Удобни,3.0,София,Line 67,,,
"LINESTRING (23.333196 42.698675, 23.333078 42.699385, 23.330566 42.703084, 23.330619 42.704278)",Удобни,3.0,София,Line 70,,,
"LINESTRING (23.311996 42.680707, 23.311089 42.681152, 23.310901 42.681164, 23.310156 42.6809, 23.305017 42.677158)",Удобни,3.0,София,Line 73,,,
"LINESTRING (23.34564 42.69359, 23.344052 42.693818, 23.343966 42.693487, 23.339438 42.69426, 23.33931 42.693732, 23.33888 42.693834, 23.338537 42.694118, 23.338065 42.694181, 23.337679 42.694102, 23.337153 42.694079, 23.334867 42.694556, 23.334781 42.694353, 23.334508 42.694398, 23.334452 42.694343, 23.33304 42.693884, 23.332235 42.694164, 23.33264 42.694794, 23.332284 42.694904, 23.332433 42.695235, 23.332455 42.695378, 23.332381 42.695477, 23.331886 42.695661, 23.33181 42.695721, 23.331615 42.695994)",Удобни,3.0,София,Line 74,,,
"LINESTRING (23.332381 42.695477, 23.332825 42.695432, 23.333049 42.695488, 23.333873 42.694157)",Удобни,3.0,София,Line 75,,,
"LINESTRING (23.322793 42.678724, 23.324982 42.679686, 23.32775 42.682683, 23.328651 42.683535, 23.329402 42.68527, 23.32908 42.685712)",Удобни,3.0,София,Line 76,,,
"LINESTRING (23.335208 42.685949, 23.338448 42.688472)",Удобни,3.0,София,Line 77,,,
"LINESTRING (23.331548 42.686138, 23.3343495 42.6881372, 23.333531 42.688552, 23.334042 42.68896, 23.333844 42.689464, 23.333141 42.689567)",Удобни,3.0,София,Line 78,,,
"LINESTRING (23.340073 42.68727, 23.342518 42.685567)",Удобни,3.0,София,Line 79,,,
"LINESTRING (23.36909 42.700184, 23.369234 42.699711, 23.369508 42.699395, 23.369331 42.699289, 23.369379 42.699131, 23.368988 42.699021, 23.368768 42.698753)",Удобни,3.0,София,Line 80,,,
"LINESTRING (23.308625 42.68582, 23.309253 42.684259, 23.310878 42.684708)",Удобни,3.0,София,Line 12,,,
"LINESTRING (23.320986 42.685964, 23.320093 42.685519, 23.319857 42.68436, 23.319916 42.684287, 23.319829 42.683716)",Удобни,3.0,София,Line 81,,,
"LINESTRING (23.333069 42.684298, 23.335208 42.685949)",Удобни,3.0,София,Line 82,,,
"LINESTRING (23.335383 42.682527, 23.335702 42.682689)",Удобни,3.0,София,Line 83,,,
"LINESTRING (23.348661 42.673109, 23.347878 42.672574)",Удобни,3.0,София,Line 85,,,
"LINESTRING (23.346269 42.677824, 23.347994 42.676488)",Удобни,3.0,София,Line 87,,,
"LINESTRING (23.313538 42.681339, 23.313247 42.68124, 23.312735 42.6807, 23.316189 42.679043, 23.316511 42.678807, 23.316694 42.678552)",Удобни,3.0,София,Line 88,,,
"LINESTRING (23.318168 42.681655, 23.319686 42.680887)",Удобни,3.0,София,Line 91,,,
"LINESTRING (23.32122 42.680114, 23.321139 42.680547, 23.320764 42.681076, 23.319829 42.683716, 23.318767 42.683731, 23.318788 42.683944, 23.317844 42.684047, 23.318027 42.685466, 23.318295 42.685593, 23.317947 42.685843)",Удобни,3.0,София,Line 92,,,
"LINESTRING (23.321398 42.679302, 23.320691 42.679252, 23.319897 42.67881, 23.317864 42.679127)",Удобни,3.0,София,Line 93,,,
"LINESTRING (23.361632 42.702706, 23.360779 42.702536, 23.360174 42.704097, 23.359544 42.703942, 23.359299 42.704141)",Удобни,3.0,София,Line 94,,,
"LINESTRING (23.372359 42.703172, 23.375106 42.70369)",Удобни,3.0,София,Line 95,,,
"LINESTRING (23.305638 42.6618, 23.306203 42.661898, 23.30797 42.661333, 23.308903 42.661187, 23.311253 42.660611, 23.312454 42.660627, 23.313248 42.660588)",Удобни,3.0,София,Line 96,,,
"LINESTRING (23.312792 42.657713, 23.313062 42.65805, 23.313305 42.658924, 23.313425 42.660564)",Удобни,3.0,София,Line 103,,,
"LINESTRING (23.306511 42.670815, 23.30682 42.670302, 23.306637 42.670088, 23.306573 42.669811, 23.306525 42.669512, 23.306235 42.669038, 23.306328 42.668677, 23.306237 42.668306, 23.30599 42.667557, 23.305797 42.667368, 23.305349 42.66717)",Удобни,3.0,София,Line 105,,,
"LINESTRING (23.326881 42.687338, 23.326789 42.687825, 23.326848 42.68825, 23.326264 42.688294, 23.32636 42.688702, 23.327416 42.689357, 23.332067 42.693449, 23.332271 42.693596, 23.332384 42.693589, 23.332501 42.693601, 23.332603 42.693646, 23.332662 42.693724, 23.333008 42.693586, 23.33301 42.693533, 23.33375 42.69326, 23.333996 42.693074, 23.334165 42.693456)",Удобни,3.0,София,Line 106,,,
"LINESTRING (23.327245 42.6958189, 23.325581 42.694356, 23.32755 42.69316)",Удобни,3.0,София,Line 107,,,
"LINESTRING (23.3209671 42.6950311, 23.3213 42.696198, 23.32174 42.696344, 23.321822 42.696627, 23.322096 42.697544)",Удобни,3.0,София,Line 108,,,
"LINESTRING (23.324905 42.697803, 23.323878 42.697698, 23.322317 42.698048, 23.322665 42.699104, 23.322332 42.699406)",Удобни,3.0,София,Line 109,,,
"LINESTRING (23.323722 42.683913, 23.323165 42.685264, 23.329861 42.687371, 23.33256 42.689233, 23.333141 42.689567, 23.332009 42.690301, 23.334488 42.692344, 23.334609 42.693056, 23.335294 42.692641)",Удобни,3.0,София,Line 110,,,
"LINESTRING (23.3376 42.690783, 23.337412 42.690908, 23.335294 42.692641, 23.335798 42.69298, 23.336216 42.694167, 23.33657 42.69529)",Удобни,3.0,София,Line 111,,,
"LINESTRING (23.337922 42.698945, 23.338179 42.698901, 23.338142 42.698687, 23.339874 42.698776, 23.340335 42.698469, 23.340968 42.698429, 23.341247 42.698579, 23.341968 42.698569, 23.34185 42.699322, 23.342295 42.69935, 23.342263 42.699539, 23.342504 42.699561)",Удобни,3.0,София,Line 113,,,
"LINESTRING (23.309852 42.674598, 23.311765 42.676895, 23.310035 42.67751, 23.306021 42.678373, 23.304667 42.678144)",Удобни,3.0,София,Line 114,,,
"LINESTRING (23.37443 42.664822, 23.3734568 42.665525, 23.3724246 42.666232, 23.3721178 42.6663545, 23.3718231 42.6664513, 23.3717701 42.6665226)",Удобни,3.0,София,Line 115,,,
"LINESTRING (23.309289 42.690184, 23.316053 42.684861, 23.315363 42.684403, 23.315438 42.684157, 23.315197 42.683927, 23.31529 42.683802, 23.315002 42.683532)",Удобни,3.0,София,Line 115,,,
"LINESTRING (23.305048 42.693056, 23.306593 42.693927, 23.307081 42.694976, 23.306759 42.695331, 23.308176 42.700093)",Удобни,3.0,София,Line 116,,,
"LINESTRING (23.355444 42.696236, 23.355595 42.696328, 23.355738 42.696504, 23.356142 42.696525, 23.35612 42.696008, 23.35656 42.695322, 23.357383 42.695425, 23.356806 42.693518, 23.355773 42.692212)",Удобни,3.0,София,Line 118,,,
"LINESTRING (23.325685 42.699514, 23.325133 42.702535)",Удобни,3.0,София,Line 119,,,
"LINESTRING (23.328816 42.694336, 23.32793 42.694635, 23.3267147 42.6953531, 23.326417 42.695389, 23.3256461 42.6957835, 23.3255031 42.6959905, 23.3253887 42.6960683, 23.3248853 42.6956218, 23.323864 42.696215, 23.321822 42.696627)",Удобни,3.0,София,Line 120,,,
"LINESTRING (23.340335 42.698469, 23.340387 42.698301, 23.340332 42.698239, 23.339698 42.694944, 23.338432 42.694368, 23.338367 42.694148)",Удобни,3.0,София,Line 121,,,
"LINESTRING (23.3253887 42.6960683, 23.3257634 42.6964049, 23.3259002 42.6963527, 23.32616 42.696567, 23.326509 42.69702, 23.326678 42.697099, 23.326855 42.697093, 23.327289 42.696967, 23.327302 42.696812, 23.329146 42.696426, 23.329291 42.696485, 23.330219 42.696111, 23.330214 42.695898, 23.330853 42.695779)",Удобни,3.0,София,Line 122,,,
"LINESTRING (23.322841 42.693669, 23.323925 42.694686, 23.32415 42.694631, 23.325101 42.695487)",Удобни,3.0,София,Line 123,,,
"LINESTRING (23.322751 42.696442, 23.322287 42.694822, 23.322368 42.694794, 23.322241 42.694557)",Удобни,3.0,София,Line 124,,,
"LINESTRING (23.323401 42.694605, 23.324152 42.69675, 23.324817 42.69686, 23.3257634 42.6964049, 23.3259002 42.6963527, 23.327245 42.6958189)",Удобни,3.0,София,Line 125,,,
"LINESTRING (23.329474 42.702952, 23.331663 42.699783)",Удобни,3.0,София,Line 127,,,
"LINESTRING (23.335997 42.703202, 23.333926 42.701405, 23.332135 42.700774)",Удобни,3.0,София,Line 128,,,
"LINESTRING (23.349995 42.702355, 23.350212 42.7032598, 23.3503942 42.7032219, 23.350735 42.70542, 23.351154 42.705436, 23.35139 42.705497, 23.353712 42.705198)",Удобни,3.0,София,Line 129,,,
"LINESTRING (23.352218 42.704145, 23.35051 42.704472, 23.34345 42.705265)",Удобни,3.0,София,Line 130,,,
"LINESTRING (23.351495 42.703022, 23.345519 42.704116)",Удобни,3.0,София,Line 131,,,
"LINESTRING (23.352189 42.705394, 23.352934 42.70509, 23.352559 42.704251)",Удобни,3.0,София,Line 132,,,
"LINESTRING (23.353121 42.703952, 23.35446 42.706648, 23.354675 42.707863, 23.352465 42.709644, 23.350941 42.71018)",Удобни,3.0,София,Line 133,,,
"LINESTRING (23.353885 42.705564, 23.354882 42.705304, 23.354121 42.703735)",Удобни,3.0,София,Line 134,,,
"LINESTRING (23.348215 42.681634, 23.34892 42.682328, 23.348412 42.682619, 23.34877 42.68299, 23.349882 42.683757, 23.351813 42.68326, 23.35284 42.684178, 23.352738 42.684248, 23.352793 42.684302)",Удобни,3.0,София,Line 135,,,
"LINESTRING (23.364336 42.670156, 23.36175 42.668742, 23.36124 42.668545, 23.360768 42.668462, 23.360312 42.668482, 23.359535 42.668616, 23.358655 42.668943, 23.357582 42.66944, 23.356599 42.669675, 23.355795 42.669628, 23.354743 42.669391, 23.35313 42.668764)",Удобни,3.0,София,Line 47,,,
"LINESTRING (23.354352 42.668922, 23.354615 42.667476, 23.353537 42.667373)",Удобни,3.0,София,Line 137,,,
"LINESTRING (23.353019 42.672398, 23.353377 42.672081, 23.353742 42.671616, 23.353967 42.671126, 23.3543 42.669233)",Удобни,3.0,София,Line 138,,,
"LINESTRING (23.338742 42.688295, 23.339084 42.688666, 23.339484 42.688493, 23.339646 42.688654, 23.340329 42.688201, 23.340565 42.687949, 23.341346 42.687482, 23.34188 42.687097, 23.342434 42.686572, 23.343292 42.68602, 23.343668 42.685827, 23.343834 42.685701, 23.344032 42.685452, 23.344834 42.684971, 23.345359 42.684466, 23.345797 42.683665, 23.345985 42.682752, 23.345306 42.68168, 23.343513 42.680104)",Удобни,3.0,София,Line 63,,,
"LINESTRING (23.348419 42.658832, 23.349213 42.659101, 23.350221 42.658943, 23.351166 42.658967, 23.351881 42.659068)",Удобни,3.0,София,Line 140,,,
"LINESTRING (23.376138 42.650293, 23.376502 42.650528, 23.376329 42.650649, 23.376734 42.650966, 23.376492 42.651147, 23.376846 42.651423, 23.37704 42.651368, 23.379539 42.653257, 23.379552 42.654073, 23.380879 42.655458, 23.379829 42.65619, 23.376951 42.656765, 23.376444 42.656978, 23.372608 42.657926, 23.374257 42.659989, 23.373517 42.660557, 23.373648 42.660716, 23.373006 42.661136, 23.373368 42.661465, 23.371809 42.662488, 23.371643 42.662946, 23.370946 42.663072, 23.370913 42.663269)",Удобни,3.0,София,Line 142,,,
"LINESTRING (23.36736 42.661231, 23.364614 42.663425, 23.363948 42.662983, 23.361966 42.664687, 23.360867 42.664542, 23.360361 42.664327, 23.36029 42.664607, 23.359686 42.665291, 23.359802 42.665404, 23.3597 42.665626, 23.360439 42.665921, 23.36062 42.666136, 23.360488 42.666347, 23.359259 42.666799, 23.358882 42.666835, 23.357957 42.666561, 23.357074 42.666203, 23.355284 42.66588)",,,София,Line 143,,,
"LINESTRING (23.343569 42.692318, 23.343754 42.692463, 23.344583 42.69622, 23.345281 42.696196, 23.345345 42.696522)",Удобни,3.0,София,Line 145,,,
"LINESTRING (23.347502 42.65211, 23.347658 42.653256, 23.348 42.653632, 23.349437 42.654293, 23.349827 42.655637, 23.349644 42.656096)",Удобни,3.0,София,Line 145,,,
"LINESTRING (23.373453 42.630025, 23.373353 42.634302, 23.373296 42.634463, 23.373296 42.635541, 23.373353 42.635726, 23.373205 42.635876, 23.373288 42.63601, 23.375048 42.636358)",Удобни,3.0,София,Line 23,,,
"LINESTRING (23.380247 42.636477, 23.376265 42.636435, 23.376297 42.635835, 23.375042 42.63582)",Удобни,3.0,София,Line 146,,,
"LINESTRING (23.342504 42.699561, 23.342417 42.700144, 23.343125 42.70025, 23.344609 42.699666)",,5.0,София,Line 147,,,
"LINESTRING (23.33241 42.670298, 23.333082 42.671612, 23.334066 42.674442, 23.334436 42.674533, 23.334243 42.674748, 23.334104 42.676365, 23.337559 42.676586, 23.33773 42.67683)",Удобни,3.0,София,Line 31,,,
"LINESTRING (23.318565 42.667543, 23.318834 42.667433, 23.318818 42.667074, 23.318984 42.666687, 23.319279 42.666596, 23.319751 42.666734, 23.320191 42.666577, 23.323308 42.667551, 23.32673 42.668569)",Удобни,3.0,София,Line 22,,,
"LINESTRING (23.318565 42.667543, 23.318564 42.667437, 23.316349 42.667914, 23.316132 42.666851, 23.315989 42.666135, 23.314219 42.66634, 23.313833 42.666348, 23.311709 42.66583, 23.311561 42.665893, 23.310743 42.665932, 23.310013 42.66583, 23.309252 42.666139, 23.308275 42.666458, 23.307331 42.666568, 23.306343 42.666314)",Удобни,3.0,София,Line 27,,,
"LINESTRING (23.352328 42.699396, 23.350026 42.699828, 23.349911 42.69955, 23.346317 42.70031, 23.345512 42.700862, 23.346113 42.703007)",Удобни,3.0,София,Line 153,,,
"LINESTRING (23.347541 42.652412, 23.350508 42.653987, 23.351417 42.654781, 23.351473 42.6552, 23.352087 42.655292, 23.352616 42.6557, 23.353436 42.656007, 23.353914 42.655989)",Удобни,3.0,София,Line 154,,,
"LINESTRING (23.375428 42.70145, 23.375449 42.701845, 23.37487 42.70369, 23.373883 42.705787, 23.374076 42.705834, 23.375106 42.70369, 23.375578 42.702396, 23.375685 42.701486)",Удобни,3.0,София,Line 156,,,
"LINESTRING (23.323722 42.683913, 23.324472 42.682841)",Удобни,3.0,София,Line 157,,,
"LINESTRING (23.333844 42.689464, 23.335887 42.690768, 23.336294 42.690473, 23.336896 42.690644, 23.33701 42.69057)",Удобни,3.0,София,Line 158,,,
"LINESTRING (23.312997 42.675913, 23.31433 42.675794, 23.315188 42.675794)",Удобни,3.0,София,Line 159,,,
"LINESTRING (23.357755 42.662525, 23.357563 42.662713, 23.357386 42.663114, 23.357458 42.663132, 23.357166 42.663366, 23.356919 42.663258, 23.356705 42.663486, 23.35631 42.663612)",Удобни,3.0,София,Line 160,,,
"LINESTRING (23.377518 42.701679, 23.375861 42.706871, 23.37618 42.706891, 23.377806 42.701695)",Удобни,3.0,София,Line 161,,,
"LINESTRING (23.376953 42.707046, 23.376814 42.7088, 23.377039 42.709139, 23.377361 42.709364, 23.37712 42.710137, 23.377088 42.710862, 23.37566 42.710925, 23.374684 42.713905, 23.374588 42.714425, 23.37595 42.714662, 23.378334 42.712834)",Удобни,3.0,София,Line 162,,,
"LINESTRING (23.357016 42.677061, 23.35766 42.677723, 23.357939 42.678386, 23.357939 42.679404, 23.35803 42.6797, 23.358172 42.67982, 23.357827 42.680063, 23.3583 42.680339, 23.36014 42.68392, 23.360551 42.68462, 23.360825 42.684534, 23.361308 42.685799, 23.36413 42.685091, 23.364856 42.685394, 23.365109 42.685933, 23.359114 42.687296)",,,София,Line 28,,,
"LINESTRING (23.34695 42.697688, 23.347575 42.697726, 23.347936 42.698046, 23.349068 42.698255, 23.349508 42.698787, 23.349605 42.699075)",Удобни,3.0,София,Line 163,,,
"LINESTRING (23.353121 42.703353, 23.353451 42.702941, 23.353416 42.702703, 23.353009 42.702671, 23.35237 42.702076, 23.351533 42.701922, 23.351614 42.701666, 23.352002 42.701482)",Удобни,3.0,София,Line 164,,,
"LINESTRING (23.351533 42.701922, 23.351312 42.702567)",Удобни,3.0,София,Line 165,,,
"LINESTRING (23.352328 42.699396, 23.352279 42.70034)",Удобни,3.0,София,Line 166,,,
"LINESTRING (23.350026 42.699828, 23.350666 42.701355, 23.351298 42.700732, 23.35201 42.700352, 23.350354 42.700637)",Удобни,3.0,София,Line 167,,,
"LINESTRING (23.369241 42.710094, 23.36966 42.710114, 23.369912 42.709456, 23.371398 42.709728)",Удобни,3.0,София,Line 168,,,
"LINESTRING (23.31692 42.66013, 23.31654 42.660215, 23.316562 42.66035, 23.313248 42.660588)",Удобни,3.0,София,Line 168,,,
"LINESTRING (23.310148 42.658043, 23.31012 42.657835, 23.309916 42.657614, 23.309608 42.657531, 23.307737 42.65807, 23.30746 42.65825, 23.307404 42.65869, 23.307135 42.658961, 23.306502 42.659053, 23.305933 42.659886, 23.305816 42.661508, 23.305638 42.6618, 23.305348 42.661864, 23.304908 42.662621, 23.303653 42.663615, 23.303551 42.664004, 23.303732 42.664341, 23.3037 42.664706, 23.303926 42.666004, 23.303915 42.667811, 23.304114 42.668565)",Удобни,3.0,София,Line 169,,,
"LINESTRING (23.34891 42.68501, 23.346636 42.686593)",Удобни,3.0,София,Line 170,,,
"LINESTRING (23.334488 42.692344, 23.334766 42.69227, 23.336705 42.690763, 23.336675 42.690586)",Удобни,3.0,София,Line 171,,,
"LINESTRING (23.328816 42.694336, 23.333204 42.692604)",Удобни,3.0,София,Line 172,,,
"LINESTRING (23.316581 42.689318, 23.316099 42.688017)",Удобни,3.0,София,Line 173,,,
"LINESTRING (23.367098 42.704355, 23.366132 42.705558)",Удобни,3.0,София,Line 174,,,
"LINESTRING (23.366132 42.705558, 23.369147 42.706843, 23.3696388 42.70701)",Удобни,3.0,София,Line 175,,,
"LINESTRING (23.335065 42.697912, 23.336256 42.698038)",Удобни,3.0,София,Line 176,,,
"LINESTRING (23.363359 42.70742, 23.363683 42.710277, 23.364069 42.710112, 23.363747 42.707754, 23.363382 42.707581)",Удобни,3.0,София,Line 177,,,
"LINESTRING (23.331142 42.698299, 23.331327 42.697463, 23.33095 42.696177)",Удобни,3.0,София,Line 178,,,
"LINESTRING (23.330219 42.696111, 23.33095 42.696177)",Удобни,3.0,София,Line 179,,,
"LINESTRING (23.33304 42.693884, 23.334165 42.693456, 23.334609 42.693056)",Удобни,3.0,София,Line 180,,,
"LINESTRING (23.357458 42.663132, 23.357853 42.663241, 23.357614 42.663547)",Удобни,3.0,София,Line 181,,,
"LINESTRING (23.347878 42.672574, 23.346848 42.673135, 23.344402 42.671486, 23.343066 42.665824, 23.342736 42.665722, 23.342768 42.665654, 23.342586 42.665586)",Удобни,3.0,София,Line 182,,,
"LINESTRING (23.343938 42.669506, 23.34545 42.669419, 23.345601 42.670405, 23.346095 42.67128, 23.347878 42.672574)",Удобни,3.0,София,Line 183,,,
"LINESTRING (23.319162 42.660752, 23.319395 42.660483)",Удобни,3.0,София,Line 185,,,
"LINESTRING (23.30885 42.674877, 23.308569 42.674398, 23.308021 42.674037, 23.307804 42.67346, 23.305635 42.67239, 23.304409 42.673246, 23.30418 42.673226, 23.303826 42.673046, 23.30338 42.673466, 23.303019 42.673254, 23.2987 42.677457, 23.298288 42.677365, 23.298154 42.677239, 23.297648 42.677405)",Удобни,3.0,София,Line 34,,,
"LINESTRING (23.303095 42.679871, 23.303456 42.680094, 23.30344 42.680393, 23.303247 42.680629, 23.304052 42.680845, 23.313163 42.682939, 23.313851 42.683364, 23.314443 42.682976)",Удобни,3.0,София,Line 62,,,
"LINESTRING (23.324472 42.682841, 23.324773 42.683038, 23.326715 42.681618, 23.328131 42.681295, 23.331285 42.681484)",Удобни,3.0,София,Line 44,,,
"LINESTRING (23.332026 42.681633, 23.335311 42.682486, 23.335311 42.682528, 23.335735 42.682695, 23.337245 42.683815, 23.337342 42.684257)",Удобни,3.0,София,Line 186,,,
"LINESTRING (23.336136 42.676494, 23.33561 42.682442, 23.335383 42.682527)",Удобни,3.0,София,Line 38,,,
"LINESTRING (23.305304 42.672623, 23.30524 42.67196, 23.304607 42.67155, 23.304274 42.669664, 23.30465 42.669554, 23.304898 42.669732)",Удобни,3.0,София,Line 190,,,
"LINESTRING (23.33722 42.691047, 23.338701 42.692057, 23.341361 42.69264, 23.341726 42.693862)",Удобни,3.0,София,Line 191,,,
"LINESTRING (23.341361 42.69264, 23.341776 42.691792, 23.342383 42.689694, 23.340955 42.688374, 23.340054 42.688942, 23.339646 42.688654)",Удобни,3.0,София,Line 192,,,
"LINESTRING (23.350818 42.703148, 23.350756 42.702758, 23.351075 42.702474)",Удобни,3.0,София,Line 193,,,
"LINESTRING (23.339438 42.69426, 23.339429 42.69437, 23.338673 42.694477)",Удобни,3.0,София,Line 194,,,
"LINESTRING (23.33264 42.694794, 23.33274 42.694882, 23.334508 42.694398)",Удобни,3.0,София,Line 195,,,
"LINESTRING (23.353967 42.671126, 23.355377 42.671725, 23.356621 42.672466, 23.359678 42.674594)",Удобни,3.0,София,Line 196,,,
"LINESTRING (23.354226 42.695528, 23.353346 42.695355, 23.351694 42.695548)",Удобни,3.0,София,Line 197,,,
"LINESTRING (23.35961 42.667988, 23.360529 42.667824)",Удобни,3.0,София,Line 68,,,
"LINESTRING (23.34481 42.67903, 23.348215 42.681634)",Удобни,3.0,София,Line 196,,,
"LINESTRING (23.353481 42.668926, 23.353964 42.668776, 23.35509 42.669218, 23.356109 42.669439, 23.357375 42.66921, 23.359113 42.668429, 23.359682 42.668247, 23.35961 42.667988)",Удобни,3.0,София,Line 68,,,
"LINESTRING (23.343459 42.667599, 23.350449 42.66785, 23.35313 42.668764)",Удобни,3.0,София,Line 59,,,
"LINESTRING (23.355773 42.692212, 23.356483 42.691905, 23.355791 42.690801, 23.355469 42.69069, 23.353416 42.687494)",Удобни,3.0,София,Line 203,,,
"LINESTRING (23.360412 42.68071, 23.357083 42.681745, 23.35601 42.682542, 23.355527 42.683078)",Удобни,3.0,София,Line 204,,,
"LINESTRING (23.365236 42.678589, 23.364744 42.678787, 23.364267 42.67891, 23.359801 42.67943, 23.359815 42.679495, 23.35862 42.679635, 23.358285 42.679734, 23.358172 42.67982)",Удобни,3.0,София,Line 204,,,
"LINESTRING (23.370913 42.663269, 23.370823 42.665344, 23.37119 42.66538, 23.371713 42.665754)",Удобни,3.0,София,Line 205,,,
"LINESTRING (23.332334 42.69009, 23.332038 42.689905, 23.3318 42.690037, 23.330853 42.690012)",Удобни,3.0,София,Line 206,,,
"LINESTRING (23.333996 42.693074, 23.334488 42.692344)",Удобни,3.0,София,Line 207,,,
"LINESTRING (23.326087 42.694815, 23.328045 42.693634)",Удобни,3.0,София,Line 208,,,
"LINESTRING (23.327427 42.689371, 23.326942 42.690921, 23.327865 42.692013)",Удобни,3.0,София,Line 209,,,
"LINESTRING (23.3395578 42.6893087, 23.33809 42.690381, 23.337842 42.690645)",,5.0,София,,,,
"LINESTRING (23.366882 42.66772, 23.36696 42.66801)",Удобни,3.0,София,Line 212,,,
"LINESTRING (23.315795 42.698754, 23.315895 42.698969, 23.317348 42.699935)",Удобни,3.0,София,Line 213,,,
"LINESTRING (23.348896 42.698223, 23.34903 42.697797, 23.351793 42.697651, 23.351873 42.697375)",Удобни,3.0,София,Line 214,,,
"LINESTRING (23.321347 42.685351, 23.32287 42.685722)",Удобни,3.0,София,Line 215,,,
